"","day","n_total","n_exceed20000","per_exceed20000"
"1",1,100000,0,0
"2",2,100000,0,0
"3",3,100000,0,0
"4",4,100000,0,0
"5",5,100000,0,0
"6",6,100000,3,0.003
"7",7,100000,12,0.012
"8",8,100000,79,0.079
"9",9,100000,263,0.263
"10",10,100000,742,0.742
"11",11,100000,1616,1.616
"12",12,100000,2925,2.925
"13",13,100000,4735,4.735
"14",14,100000,7166,7.166
"15",15,100000,11265,11.265
"16",16,100000,17396,17.396
"17",17,100000,25690,25.69
"18",18,100000,35546,35.546
"19",19,100000,46347,46.347
"20",20,100000,56342,56.342
"21",21,100000,65588,65.588
"22",22,100000,73393,73.393
"23",23,100000,79426,79.426
"24",24,100000,83829,83.829
"25",25,100000,87012,87.012
"26",26,100000,89109,89.109
"27",27,100000,90482,90.482
"28",28,100000,91797,91.797
"29",29,100000,93232,93.232
"30",30,100000,94911,94.911
"31",31,100000,96484,96.484
"32",32,100000,97874,97.874
"33",33,100000,98848,98.848
"34",34,100000,99506,99.506
"35",35,100000,99804,99.804
