"","day","mean","sd","n"
"1",1,-0.943529855899805,0.990127277736486,100000
"2",2,-0.937489112380219,0.990178876521467,100000
"3",3,-0.851224715462005,0.999672832938615,100000
"4",4,-0.740926663218141,1.02720812736342,100000
"5",5,-0.627076865467506,1.07757044042073,100000
"6",6,-0.465734404713131,1.1368707764591,100000
"7",7,-0.244654162046366,1.1899429934177,100000
"8",8,0.0533880284846464,1.22958738006237,100000
"9",9,0.351430219015659,1.29091599336759,100000
"10",10,0.649472409546671,1.37102197566432,100000
"11",11,0.969901816043792,1.43933380904195,100000
"12",12,1.30667174843701,1.5003857197902,100000
"13",13,1.64339785240805,1.57253771236615,100000
"14",14,1.98752376814873,1.64065647717604,100000
"15",15,2.33553627435039,1.70774133167923,100000
"16",16,2.6809538670322,1.77740862020575,100000
"17",17,3.02092468453021,1.8439346231384,100000
"18",18,3.35177923671793,1.90281595495477,100000
"19",19,3.69968509202873,1.88063556970187,100000
"20",20,4.03854624269283,1.82384954786248,100000
"21",21,4.35504863082433,1.75371782355188,100000
"22",22,4.64462834841409,1.6718609293133,100000
"23",23,4.90693452652867,1.58287223234581,100000
"24",24,5.14512423668126,1.49172604196046,100000
"25",25,5.36103077573985,1.4010141187285,100000
"26",26,5.55703300039712,1.31237414302787,100000
"27",27,5.73385927592775,1.22634478341324,100000
"28",28,5.88987402903452,1.14281655533355,100000
"29",29,6.02385161685461,1.06168977820951,100000
"30",30,6.1352654443938,0.982974325831087,100000
"31",31,6.22561608960896,0.907916846955914,100000
"32",32,6.29869468208258,0.838590932223037,100000
"33",33,6.35943207974512,0.778616062380924,100000
"34",34,6.41077301692109,0.730886142625058,100000
"35",35,6.45544511892824,0.697822348258993,100000
